Respondent,Gender,EdLevel,Age,Country,WorkLoc,CompTotal,ConvertedComp,WorkWeekHrs,CodeRevHrs
22797,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",26.0,Germany,Office,50000.0,57287.0,45.0,2.0
22799,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0,Poland,Office,1750.0,21000.0,40.0,2.0
22802,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",46.0,United States,Other,130000.0,130000.0,45.0,2.0
22805,Man,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",48.0,Brazil,Office,10500.0,34416.0,40.0,8.0
22807,Man,Some college/university study without earning a degree,45.0,Canada,Home,135000.0,103057.0,40.0,2.0
22810,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",26.0,Sweden,Office,43000.0,57000.0,40.0,2.0
22816,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",31.0,Australia,Home,82500.0,718044.0,38.0,5.0
22818,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",25.0,Ukraine,Office,2200.0,26400.0,40.0,5.0
22822,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",31.0,Italy,Home,35000.0,40101.0,40.0,10.0
22825,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",27.0,United States,Home,140000.0,140000.0,45.0,3.0
22826,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0,United Kingdom,Other,40000.0,52339.0,40.0,5.0
22831,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",35.0,Germany,Office,5000.0,68748.0,40.0,4.0
22837,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",29.0,Russian Federation,Home,100000.0,18336.0,45.0,4.0
22844,Man,"Professional degree (JD, MD, etc.)",20.0,Spain,Other,300.0,4128.0,20.0,2.0
22846,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",30.0,Pakistan,Office,60000.0,5196.0,40.0,1.0
22847,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",26.0,Germany,Home,5500.0,75624.0,40.0,10.0
22849,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0,India,Office,27500.0,4620.0,63.0,6.0
22851,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0,Germany,Office,41616.0,572184.0,42.0,2.0
22853,Man,Associate degree,27.0,Brazil,Office,3640.0,11928.0,42.0,4.0
22866,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",38.0,France,Other,2990.0,41112.0,37.0,1.0
22869,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",33.0,United States,Office,125000.0,125000.0,40.0,5.0
22872,Man,Some college/university study without earning a degree,33.0,Sweden,Office,48000.0,63624.0,45.0,4.0
22874,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",32.0,France,Home,1440.0,19800.0,40.0,8.0
22875,Man,Some college/university study without earning a degree,28.0,Lithuania,Office,3600.0,49500.0,40.0,3.0
22877,Man,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",34.0,United Kingdom,Office,25500.0,33366.0,40.0,4.0
22879,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",49.0,United States,Office,110000.0,110000.0,40.0,4.0
22882,Woman,"Bachelor’s degree (BA, BS, B.Eng., etc.)",29.0,United States,Office,60000.0,60000.0,38.0,4.0
22885,Man,Some college/university study without earning a degree,23.0,Pakistan,Other,40000.0,40000.0,42.0,3.0
22886,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",29.0,India,Office,7.0,0.0,45.0,5.0
22887,Man,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",21.0,Sweden,Office,25000.0,33144.0,40.0,1.0
22903,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",37.0,United Kingdom,Home,110000.0,143932.0,40.0,10.0
22904,Man,Some college/university study without earning a degree,38.0,Spain,Home,60000.0,68745.0,45.0,10.0
22908,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",28.0,Slovakia,Office,27420.0,31416.0,40.0,1.0
22909,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",21.0,United States,Home,126500.0,126500.0,40.0,2.0
22912,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",36.0,United States,Office,130000.0,130000.0,40.0,5.0
22914,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",38.0,Romania,Other,21539.0,62280.0,40.0,4.0
22916,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",23.0,Poland,Office,10000.0,32064.0,40.0,4.0
22919,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",44.0,Russian Federation,Home,200000.0,36672.0,40.0,5.0
22931,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",27.0,Russian Federation,Office,80000.0,14664.0,42.0,5.0
22932,Other,"Bachelor’s degree (BA, BS, B.Eng., etc.)",34.0,United Kingdom,Office,65000.0,85051.0,36.5,2.0
22933,Woman,"Bachelor’s degree (BA, BS, B.Eng., etc.)",45.0,Australia,Home,150000.0,108795.0,45.0,4.0
22948,Man,Some college/university study without earning a degree,46.0,United Kingdom,Home,62000.0,81125.0,70.0,5.0
22951,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",22.0,Ukraine,Office,70000.0,30300.0,40.0,2.0
22952,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",36.0,Romania,Office,17727.0,51264.0,41.0,2.0
22955,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",37.0,United States,Other,72000.0,72000.0,60.0,2.0
22957,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",31.0,United States,Other,68500.0,68500.0,41.0,4.0
22960,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",30.0,United States,Home,105000.0,105000.0,40.0,2.0
22965,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",32.0,United States,Home,90640.0,90640.0,40.0,5.0
22967,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",31.0,France,Office,80000.0,91660.0,60.0,1.0
22971,Man,Some college/university study without earning a degree,26.0,Poland,Office,150000.0,40081.0,35.0,5.0
22972,Man,Some college/university study without earning a degree,36.0,Sweden,Home,35000.0,46392.0,40.0,2.0
22973,Man,Some college/university study without earning a degree,41.0,United States,Home,120000.0,120000.0,45.0,5.0
22974,Woman,"Bachelor’s degree (BA, BS, B.Eng., etc.)",27.0,United Kingdom,Office,82000.0,107295.0,45.0,2.0
22976,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",25.0,United Kingdom,Office,28000.0,36637.0,37.5,2.0
22979,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",37.0,United States,Office,390000.0,390000.0,40.0,3.0
22981,Man,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",28.0,Turkey,Office,5250.0,12096.0,45.0,1.0
22984,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",34.0,Canada,Home,90000.0,68705.0,40.0,2.0
22987,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",24.0,India,Home,2000000.0,27986.0,40.0,4.0
22988,Man,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",26.0,Germany,Home,700.0,9624.0,20.0,1.0
22992,Man,"Bachelor’s degree (BA, BS, B.Eng., etc.)",35.0,United States,Office,165000.0,165000.0,40.0,5.0
