,COUNTRY,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
94,Indonesia,99493105,63457676.0,36.38,23.2,36035429.0,13.18,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",5.0
95,Iran (Islamic Republic of),27057253,18611135.0,32.21,22.16,8446118.0,10.06,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V",4.0
96,Iraq,3504509,699325.0,8.71,1.74,388541.0,0.97,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty",4.0
97,Ireland,6836122,3688438.0,137.7,74.3,3380284.0,68.09,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
98,Isle of Man,127589,65118.0,150.05,76.58,62471.0,73.47,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",2.0
99,Israel,13742912,5987239.0,158.78,69.17,5488697.0,63.41,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",2.0
100,Italy,77840987,42609377.0,130.52,71.44,36668590.0,61.48,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
101,Jamaica,496976,357938.0,16.78,12.09,140372.0,4.74,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,SII - Covishield",3.0
102,Japan,127420574,70699480.0,100.75,55.9,56721094.0,44.85,"AstraZeneca - Vaxzevria,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",4.0
103,Jersey,147643,75860.0,136.97,70.37,71783.0,66.59,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",3.0
